Position,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Extremo,-3 MD,mean,5104.213376248606,1950.8776617282792,315.97913599856577,135.52815526594404,1.7810069356957632,630.5044351621842,4.619184348845733,2256.2195121951218,2271.756097560976,-2.975609756097561,0.006218997521839112,10360.658536585366,60.49,62.33,53.66,48.75,80.81,61.57,92.11,93.73,94.14,14.6,43.42,60.57
Extremo,-3 MD,median,5105.23414138099,2035.13989257813,312.21141093915,110.633599496418,0.0,640.766270840409,4.66267256724714,2283.0,2290.0,-1.0,0.00431146085202452,10012.0,53.9,64.03,53.0,43.07,,57.16,95.62,93.43,93.55,6.45,30.8,51.82
Extremo,-3 MD,max,6778.67155784536,2671.5546875,736.34798478045,489.370915714701,43.1623677348072,835.074566659002,5.54306810063244,3010.0,3030.0,22.0,0.050850881013393,15132.0,52.7,47.59,65.68,68.13,105.48,54.36,70.73,80.18,80.78,200.0,107.96,52.16
Extremo,-3 MD,min,1255.48976230139,678.12158203125,51.6581004604803,7.02268255867214,0.0,158.281658547519,3.58574070663563,887.0,915.0,-26.0,-0.0282781214126653,2907.0,58.04,96.9,90.25,36.59,,59.84,104.49,182.14,188.66,35.62,103.89,75.66
Extremo,-3 MD,p75,6092.77482522501,2227.09936523438,404.461878358393,174.201454149708,0.0,727.000917929153,5.03747464279937,2529.0,2525.0,3.0,0.0164764199051453,11849.0,57.1,52.9,52.16,51.78,,56.39,95.3,81.61,81.06,-60.0,68.39,57.27
Extremo,-3 MD,p90,6370.69045695258,2340.2060546875,477.867521431519,265.415362962411,0.0,788.442864662718,5.23708344747623,2700.0,2742.0,7.0,0.0282304753109018,12904.0,57.22,51.05,50.91,47.97,,55.67,88.28,78.49,79.97,,85.6,53.17
Extremo,-3 MD,p95,6628.79607395074,2386.73461914063,558.067598662616,337.834223517384,10.7736593827643,803.682213094192,5.3095159027412,2777.0,2793.0,8.0,0.035337349992716,14352.0,57.63,49.76,58.07,59.7,82.76,54.97,82.13,80.42,80.35,400.0,95.19,55.9
Extremo,-4 MD,mean,6061.020453447725,2269.0659216678523,383.359177970072,161.6191045404133,0.7053315993938364,767.025909245783,4.568105965956121,2565.4242424242425,2582.7272727272725,-8.606060606060606,0.008542228155601723,12455.151515151516,71.83,72.5,65.11,58.13,32.0,74.9,91.09,106.57,107.03,42.22,59.64,72.81
Extremo,-4 MD,median,6095.30005763675,2224.4111328125,406.938185792485,157.494489952883,0.0,786.073945950625,4.55724747142809,2544.0,2556.0,-4.0,0.00772015165858837,12616.0,64.35,69.99,69.08,61.31,,70.13,93.45,104.11,104.41,25.81,55.14,65.3
Extremo,-4 MD,max,7785.58117829181,3008.00732421875,627.535880872856,358.450271873594,23.2759427799966,941.316700842893,5.7737710585297,3187.0,3202.0,19.0,0.047658860368089,16369.0,60.53,53.58,55.97,49.9,56.88,61.28,73.67,84.9,85.36,172.73,101.18,56.43
Extremo,-4 MD,min,3183.64794613204,1641.26892089844,76.8766217561913,26.9406820557452,0.0,392.853839565598,3.83837542248897,1977.0,2003.0,-45.0,-0.0279369871153694,7430.0,147.18,234.52,134.31,140.36,,148.53,111.85,405.95,412.99,61.64,102.64,193.39
Extremo,-4 MD,p75,6669.86650154582,2421.64013671875,460.792096967171,218.27717977306,0.0,846.225965431913,4.83971382883262,2813.0,2841.0,2.0,0.0202827199072713,13755.0,62.5,57.52,59.43,64.88,,65.63,91.56,90.77,91.2,-40.0,84.19,66.48
Extremo,-4 MD,p90,7129.65587213716,2728.71313476563,562.81421957876,290.889618063432,0.0,909.138409503604,5.14789973570641,2924.0,2940.0,8.0,0.0307198464515635,15107.0,64.04,59.52,59.97,52.58,,64.2,86.77,85.0,85.74,,93.14,62.25
