Team,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Sporting de Gijón,-3 MD,mean,5337.710616454451,1986.128267758854,273.09967639186556,106.95260679585547,1.74030478433529,630.14766379302,4.597634557722089,2271.25,2287.0746753246754,1.0194805194805194,0.0028336787924339983,10247.464285714286,65.63,66.25,64.22,58.44,65.8,67.04,93.71,98.92,99.2,-9.71,48.37,65.26
Sporting de Gijón,-3 MD,median,5488.4053827906155,2009.82800292969,256.7324219278815,88.84449684655729,0.0,640.293414374814,4.5677905592452746,2293.5,2318.0,0.0,0.0018739717911272049,10347.0,59.45,61.41,64.09,53.62,,60.89,94.13,95.76,96.32,-0.0,33.59,58.05
Sporting de Gijón,-3 MD,max,7750.58299852967,3144.9296875,736.34798478045,489.370915714701,43.1623677348072,1116.86815161737,6.32493694397536,3010.0,3030.0,43.0,0.101840868631949,17279.0,54.51,47.22,65.68,68.13,75.0,61.95,80.71,80.18,80.78,138.71,119.66,56.59
Sporting de Gijón,-3 MD,min,1255.48976230139,478.823059082031,7.75503253240246,0.0,0.0,154.236283461861,3.51287887002081,565.0,564.0,-26.0,-0.0638008832850832,1359.0,94.17,163.58,52.82,,,85.94,115.4,271.63,268.57,35.62,115.81,
Sporting de Gijón,-3 MD,p75,6092.77482522501,2249.30395507813,377.555902481197,139.729150691733,0.0,715.120298489398,4.9680932377926,2535.0,2552.0,8.0,0.0158609211841434,11813.0,55.55,55.7,62.49,54.44,,57.32,94.76,79.72,79.82,-800.0,87.56,56.6
Sporting de Gijón,-3 MD,p90,6628.79607395074,2408.02124023438,470.707854226372,212.067193446843,0.0,788.928691832168,5.30527798164173,2700.0,2711.0,17.0,0.0332114165708129,12960.0,55.63,54.51,61.7,61.56,0.0,55.94,89.18,80.41,80.28,283.33,100.7,52.94
Sporting de Gijón,-3 MD,p95,6966.63840397821,2582.53247070313,555.987530850379,285.008581602003,14.5786621430229,830.326479984685,5.54306810063244,2777.0,2799.0,24.0,0.0390486245134764,14099.0,57.43,55.15,63.61,66.89,68.39,56.79,86.36,80.47,80.76,171.43,100.73,53.3
Sporting de Gijón,-4 MD,mean,6140.155838475556,2269.5723779795144,336.320589918909,124.7596612126033,0.8000170049986991,740.4519561333046,4.544247633315066,2523.0285714285715,2537.7020408163266,-0.036734693877551024,0.003348998022661221,11981.032653061224,75.49,75.71,79.09,68.17,30.25,78.78,92.63,109.88,110.07,0.35,57.16,76.3
Sporting de Gijón,-4 MD,median,6139.16929757089,2227.72265625,342.524466712521,107.714762729121,0.0,741.642610437091,4.4881986899408,2544.0,2556.0,0.0,0.00343416712938704,11976.0,66.49,68.07,85.5,65.01,,70.53,92.49,106.22,106.21,-0.0,61.55,67.19
Sporting de Gijón,-4 MD,max,8410.76540985616,3407.11645507813,692.994883056493,362.307696743249,38.3699690612586,1107.13686663221,6.10215074937753,3488.0,3522.0,50.0,0.0629405373278171,17628.0,59.15,51.16,61.81,50.44,66.67,61.41,77.86,92.91,93.89,161.29,73.95,57.73
Sporting de Gijón,-4 MD,min,1162.41007918246,553.055603027344,64.1176065265071,0.0,0.0,163.33740332612,2.84656969184427,676.0,680.0,-45.0,-0.0573356558113801,2920.0,87.19,188.94,436.72,,,91.01,93.51,325.0,323.81,61.64,104.07,
Sporting de Gijón,-4 MD,p75,6778.67947142196,2482.736328125,425.143680652954,177.850082628419,0.0,836.84190753144,4.838316647292,2739.0,2757.0,8.0,0.0166229694146666,13272.0,61.81,61.48,70.36,69.29,,67.08,92.28,86.13,86.24,-800.0,91.77,63.59
Sporting de Gijón,-4 MD,p90,7290.54467172621,2805.0791015625,512.923995147583,239.233885298726,0.0,915.204584816268,5.19608568713722,2881.0,2905.0,17.0,0.0297303109078336,14713.0,61.19,63.5,67.23,69.45,0.0,64.9,87.35,85.8,86.02,283.33,90.14,60.1
Sporting de Gijón,-4 MD,p95,7631.25108741433,2984.08447265625,576.083357687993,290.889618063432,0.0,949.295505680951,5.43672131393293,3032.0,3053.0,23.0,0.0385479323505881,15771.0,62.91,63.72,65.91,68.27,0.0,64.93,84.71,87.86,88.08,164.29,99.44,59.62
Sporting de Gijón,-1 MD,mean,3007.979007446554,1343.9901893076285,66.30985629336845,20.39857783952587,0.058714021965577776,351.7105999159836,4.3364404387324464,1752.1464646464647,1762.1060606060605,1.3257575757575757,0.004981680915210397,6272.270202020202,36.98,44.83,15.59,11.15,2.22,37.42,88.39,76.31,76.43,-12.62,85.03,39.94
Sporting de Gijón,-1 MD,median,2963.254582387665,1336.509643554685,55.718551539521,12.1171981594473,0.0,353.667551839865,4.302986154351575,1643.0,1651.0,1.0,0.003492484614129975,6120.5,32.1,40.84,13.91,7.31,,33.63,88.68,68.6,68.61,-12.5,62.6,34.34
Sporting de Gijón,-1 MD,max,4443.07533260405,1955.2099609375,381.444471321627,171.432531400685,11.9875930703935,585.305373319533,6.41378350631155,2548.0,2574.0,38.0,0.0915661530613079,10912.0,31.25,29.36,34.02,23.87,20.83,32.46,81.84,67.87,68.62,122.58,107.59,35.74
Sporting de Gijón,-1 MD,min,827.463840757857,461.60791015625,0.0,0.0,0.0,20.8198586925494,0.0,787.0,788.0,-31.0,-0.0749973299781282,0.0,62.06,157.7,0.0,,,11.6,0.0,378.37,375.24,42.47,136.13,
