Date,Match Day,Player,Distance (m),HIBD (m)
23/08/2023,-4 MD,Nacho Martín,7321.75368652244,236.677510247236
23/08/2023,-4 MD,Esteban Lozano,4733.44992392575,190.153984036329
23/08/2023,-4 MD,Jonathan  Varane,6802.12151868743,241.079149819794
23/08/2023,-4 MD,Enol Coto,3686.9747189621,95.0444940177161
23/08/2023,-4 MD,Cali Izquierdoz,6261.33314210812,205.823032183972
23/08/2023,-4 MD,José Ángel Valdés,5980.9516016396,258.541592499233
23/08/2023,-4 MD,Jordan Carrillo,6572.28414310453,162.752213950167
23/08/2023,-4 MD,Haissem Hassan,7351.43274033887,182.406466001407
23/08/2023,-4 MD,Juan Otero,6246.90712294244,217.258080686821
23/08/2023,-4 MD,Ignacio Jeraldino,6853.36860593135,226.835629849738
23/08/2023,-4 MD,Diego Sánchez,6288.86120200462,162.947710041645
23/08/2023,-4 MD,Gaspar Campos,6687.13228424797,230.16885598288
23/08/2023,-4 MD,Guille Rosas,6366.51191247833,226.035957274124
23/08/2023,-4 MD,Christian Rivera,6212.69206890153,151.740372254822
23/08/2023,-4 MD,Nacho Méndez,7630.61328254092,232.172740498368
23/08/2023,-4 MD,Pablo García,6192.62809642156,204.323423564267
23/08/2023,-4 MD,Uros Djurdjevic,6217.20813092101,173.653614828757
23/08/2023,-4 MD,Alexandru Pascanu,4251.75592618982,131.572654830883
23/08/2023,-4 MD,Roberto Suárez Pier,5848.84767644549,163.281842190475
23/08/2023,-4 MD,Víctor Campuzano,4389.4084357259,127.9999666232
23/08/2023,-4 MD,Pablo Insua,5635.4284480801,132.409092234855
23/08/2023,-4 MD,Fran  Villalba,6095.30005763675,201.433627049604
